
Summary: 118 | Step: 3533 | Reward: -2.5100000000000007
Summary: 119 | Step: 3584 | Reward: -0.5900000000000002
Summary: 120 | Step: 3712 | Reward: -2.27
Summary: 121 | Step: 3720 | Reward: 1.0
Summary: 122 | Step: 3734 | Reward: 1.05
Summary: 123 | Step: 3779 | Reward: 0.76
Summary: 124 | Step: 3798 | Reward: -0.8999999999999999
Summary: 125 | Step: 3840 | Reward: -1.4700000000000006
Summary: 126 | Step: 3872 | Reward: 1.2
Summary: 127 | Step: 3893 | Reward: 1.26
