INT1 | INT2 | INT3 | INT4 
0.006500 | 0.007843 | 0.005783 | 0.006363 | 
0.006607 | 0.007980 | 0.005905 | 0.006470 | 
0.007065 | 0.008286 | 0.006149 | 0.006622 | 
0.007202 | 0.008438 | 0.006241 | 0.006760 | 
0.007324 | 0.008606 | 0.006363 | 0.006912 | 
0.007462 | 0.008789 | 0.006500 | 0.007080 | 
0.007614 | 0.008972 | 0.006607 | 0.007248 | 
0.007736 | 0.009155 | 0.006744 | 0.007431 | 
0.007874 | 0.009323 | 0.006836 | 0.007584 | 
0.008042 | 0.009537 | 0.006958 | 0.007767 | 
0.008209 | 0.009766 | 0.007202 | 0.007874 | 
0.008637 | 0.009979 | 0.007401 | 0.008057 | 
0.008789 | 0.010193 | 0.007523 | 0.008255 | 
0.008927 | 0.010391 | 0.007660 | 0.008423 | 
0.009079 | 0.010575 | 0.007752 | 0.008591 | 
0.009216 | 0.010773 | 0.007874 | 0.008789 | 
0.009354 | 0.010864 | 0.007965 | 0.008881 | 
0.009537 | 0.011124 | 0.008103 | 0.009064 | 
0.009644 | 0.011307 | 0.008209 | 0.009262 | 
0.009796 | 0.011536 | 0.008362 | 0.009461 | 
0.010620 | 0.012085 | 0.009064 | 0.009720 | 
0.010986 | 0.012299 | 0.009186 | 0.009918 | 
0.011154 | 0.012512 | 0.009323 | 0.010117 | 
0.011337 | 0.012726 | 0.009491 | 0.010330 | 
0.011536 | 0.012955 | 0.009659 | 0.010544 | 
0.011734 | 0.013214 | 0.009827 | 0.010803 | 
0.011948 | 0.013458 | 0.009964 | 0.011017 | 
0.012161 | 0.013718 | 0.010147 | 0.011261 | 
0.012345 | 0.013993 | 0.010330 | 0.011521 | 
0.012558 | 0.014298 | 0.010513 | 0.011795 | 
0.012772 | 0.014618 | 0.010727 | 0.012070 | 
0.012970 | 0.014939 | 0.010910 | 0.012360 | 
0.013169 | 0.015213 | 0.011048 | 0.012573 | 
0.013977 | 0.015869 | 0.012009 | 0.012970 | 
0.014740 | 0.016205 | 0.012238 | 0.013260 | 
0.015015 | 0.016556 | 0.012497 | 0.013581 | 
0.015305 | 0.016907 | 0.012741 | 0.013870 | 
0.015534 | 0.017090 | 0.012940 | 0.014038 | 
0.015824 | 0.017395 | 0.012985 | 0.014221 | 
0.015457 | 0.017548 | 0.012955 | 0.014542 | 
0.015747 | 0.017945 | 0.013230 | 0.014939 | 
0.015991 | 0.018387 | 0.013504 | 0.015335 | 
0.016281 | 0.018814 | 0.013779 | 0.015732 | 
0.016556 | 0.019272 | 0.014084 | 0.016159 | 
0.016861 | 0.019715 | 0.014343 | 0.016526 | 
0.017121 | 0.020172 | 0.014633 | 0.016938 | 
0.017380 | 0.020691 | 0.014908 | 0.017365 | 
0.017762 | 0.021256 | 0.015534 | 0.017853 | 
0.018448 | 0.021805 | 0.015885 | 0.018311 | 
0.018677 | 0.022278 | 0.016190 | 0.018753 | 
0.018936 | 0.022751 | 0.016449 | 0.019089 | 
0.019181 | 0.023285 | 0.016724 | 0.019471 | 
0.019425 | 0.023636 | 0.017014 | 0.019806 | 
0.019730 | 0.024201 | 0.017365 | 0.020233 | 
0.020005 | 0.024720 | 0.017655 | 0.020645 | 
0.020294 | 0.025238 | 0.018235 | 0.021149 | 
0.021118 | 0.025650 | 0.018616 | 0.021576 | 
0.021347 | 0.026184 | 0.018952 | 0.022019 | 
0.021607 | 0.026703 | 0.019303 | 0.022477 | 
0.021881 | 0.027207 | 0.019608 | 0.022919 | 
0.022156 | 0.027756 | 0.019989 | 0.023468 | 
0.022461 | 0.028321 | 0.020356 | 0.023957 | 
0.022766 | 0.028840 | 0.020706 | 0.024430 | 
0.023606 | 0.029358 | 0.021439 | 0.025086 | 
0.023911 | 0.029877 | 0.021805 | 0.025635 | 
0.024201 | 0.030442 | 0.022187 | 0.026139 | 
0.024430 | 0.030777 | 0.022477 | 0.026566 | 
0.024704 | 0.031281 | 0.023056 | 0.027085 | 
0.025879 | 0.031693 | 0.023835 | 0.027726 | 
0.026154 | 0.032105 | 0.024201 | 0.028183 | 
0.026444 | 0.032563 | 0.024582 | 0.028717 | 
0.026673 | 0.033021 | 0.024964 | 0.029206 | 
0.026917 | 0.033433 | 0.025345 | 0.029664 | 
0.027161 | 0.033860 | 0.025696 | 0.030060 | 
0.027390 | 0.034241 | 0.026017 | 0.030457 | 
0.027604 | 0.034623 | 0.026368 | 0.030793 | 
0.027787 | 0.034943 | 0.026673 | 0.031083 | 
0.027939 | 0.035279 | 0.027008 | 0.031250 | 
0.028122 | 0.035584 | 0.027329 | 0.031556 | 
0.028275 | 0.035889 | 0.027573 | 0.031250 | 
0.028412 | 0.036149 | 0.027893 | 0.030915 | 
0.028565 | 0.036484 | 0.028183 | 0.030549 | 
0.028611 | 0.036622 | 0.028397 | 0.028656 | 
0.028733 | 0.036851 | 0.028656 | 0.027878 | 
0.028916 | 0.037201 | 0.028992 | 0.026612 | 
0.028992 | 0.037385 | 0.029206 | 0.025086 | 
0.029084 | 0.037583 | 0.029480 | 0.023239 | 
0.029191 | 0.037797 | 0.029816 | 0.020050 | 
0.029313 | 0.037949 | 0.030167 | 0.017517 | 
0.029450 | 0.038087 | 0.030518 | 0.015122 | 
0.030198 | 0.038178 | 0.031937 | 0.013550 | 
0.030838 | 0.038193 | 0.032151 | 0.012726 | 
0.030884 | 0.038224 | 0.032364 | 0.011749 | 
0.030884 | 0.038254 | 0.032609 | 0.012329 | 
0.030915 | 0.038270 | 0.032837 | 0.013062 | 
0.030930 | 0.038254 | 0.033082 | 0.015442 | 
0.030930 | 0.038239 | 0.033280 | 0.017304 | 
0.030915 | 0.038209 | 0.033402 | 0.018570 | 
0.030869 | 0.038163 | 0.033539 | 0.022019 | 
0.030793 | 0.038117 | 0.033661 | 0.025254 | 
0.030716 | 0.038041 | 0.033753 | 0.028107 | 
0.030610 | 0.037949 | 0.033829 | 0.030335 | 
0.030472 | 0.037858 | 0.033890 | 0.032380 | 
0.030365 | 0.037781 | 0.033967 | 0.033326 | 
0.030243 | 0.037690 | 0.034012 | 0.034455 | 
0.030121 | 0.037629 | 0.034073 | 0.035508 | 
0.029999 | 0.037568 | 0.034089 | 0.035935 | 
0.029862 | 0.037537 | 0.034119 | 0.036179 | 
0.029770 | 0.037507 | 0.034150 | 0.036286 | 
0.029664 | 0.037491 | 0.034150 | 0.036362 | 
0.029587 | 0.037461 | 0.034165 | 0.036088 | 
0.029450 | 0.037385 | 0.034150 | 0.035782 | 
0.029343 | 0.037263 | 0.034104 | 0.035325 | 
0.029236 | 0.037079 | 0.034058 | 0.034668 | 
0.029084 | 0.036790 | 0.033982 | 0.034379 | 
