
Summary: 0 | Step: 0 | Reward: 0
Summary: 117 | Step: 4002 | Reward: -1.09
Summary: 118 | Step: 4017 | Reward: -1.6800000000000002
Summary: 119 | Step: 4037 | Reward: -1.7200000000000002
Summary: 120 | Step: 4047 | Reward: -1.43
Summary: 121 | Step: 4051 | Reward: -1.1300000000000001
Summary: 122 | Step: 4052 | Reward: -0.98
Summary: 123 | Step: 4061 | Reward: -1.31
Summary: 124 | Step: 4076 | Reward: 1.0
Summary: 125 | Step: 4096 | Reward: 0.12000000000000004
Summary: 126 | Step: 4109 | Reward: -0.88
Summary: 127 | Step: 4126 | Reward: -1.01
Summary: 128 | Step: 4140 | Reward: 1.12
Summary: 129 | Step: 4172 | Reward: 1.34
Summary: 130 | Step: 4204 | Reward: 1.3399999999999999
Summary: 131 | Step: 4224 | Reward: 0.18999999999999997
Summary: 132 | Step: 4239 | Reward: 0.93
Summary: 133 | Step: 4266 | Reward: -1.02
Summary: 134 | Step: 4284 | Reward: -1.7600000000000002
Summary: 135 | Step: 4299 | Reward: -1.54
Summary: 136 | Step: 4326 | Reward: -1.09
Summary: 137 | Step: 4350 | Reward: 1.25
Summary: 138 | Step: 4352 | Reward: -0.030000000000000002
Summary: 139 | Step: 4418 | Reward: -2.5500000000000007
Summary: 140 | Step: 4439 | Reward: -1.5599999999999998
Summary: 141 | Step: 4457 | Reward: -1.4799999999999998
Summary: 142 | Step: 4475 | Reward: -1.48
Summary: 143 | Step: 4480 | Reward: -0.11000000000000001
Summary: 144 | Step: 4527 | Reward: -1.9500000000000002
Summary: 145 | Step: 4528 | Reward: -0.98
Summary: 146 | Step: 4560 | Reward: -1.48
Summary: 147 | Step: 4602 | Reward: 1.4700000000000002
Summary: 148 | Step: 4608 | Reward: -0.019999999999999993
Summary: 149 | Step: 4637 | Reward: -1.54
Summary: 150 | Step: 4647 | Reward: -1.22
Summary: 151 | Step: 4672 | Reward: -1.9700000000000002
Summary: 152 | Step: 4683 | Reward: -1.13
Summary: 153 | Step: 4695 | Reward: -1.53
Summary: 154 | Step: 4736 | Reward: -1.2800000000000005
Summary: 155 | Step: 4760 | Reward: -1.7800000000000002
Summary: 156 | Step: 4771 | Reward: -1.48
Summary: 157 | Step: 4784 | Reward: -1.44
Summary: 158 | Step: 4793 | Reward: -1.24
Summary: 159 | Step: 4809 | Reward: -1.17
Summary: 160 | Step: 4822 | Reward: -1.3
Summary: 161 | Step: 4864 | Reward: -0.9100000000000003
Summary: 162 | Step: 4920 | Reward: -1.9100000000000001
Summary: 163 | Step: 4945 | Reward: -2.0400000000000005
Summary: 164 | Step: 4970 | Reward: -1.69
Summary: 165 | Step: 4992 | Reward: -0.47
Summary: 166 | Step: 4993 | Reward: -0.98
Summary: 167 | Step: 5040 | Reward: 1.3599999999999999
Summary: 168 | Step: 5086 | Reward: -1.7600000000000002
Summary: 169 | Step: 5095 | Reward: -1.24
Summary: 170 | Step: 5120 | Reward: -1.0400000000000003
Summary: 171 | Step: 5204 | Reward: -2.820000000000001
Summary: 172 | Step: 5248 | Reward: -0.3799999999999996
Summary: 173 | Step: 5283 | Reward: -1.7000000000000002
Summary: 174 | Step: 5296 | Reward: -1.58
Summary: 175 | Step: 5308 | Reward: -1.32
Summary: 176 | Step: 5324 | Reward: -1.6600000000000001
Summary: 177 | Step: 5339 | Reward: -1.6800000000000002
Summary: 178 | Step: 5352 | Reward: -1.37
Summary: 179 | Step: 5362 | Reward: -1.01
Summary: 180 | Step: 5376 | Reward: -0.35
Summary: 181 | Step: 5399 | Reward: 1.3
Summary: 182 | Step: 5444 | Reward: -2.4800000000000004
Summary: 183 | Step: 5461 | Reward: -1.43
Summary: 184 | Step: 5475 | Reward: -1.56
Summary: 185 | Step: 5504 | Reward: -0.5399999999999999
Summary: 186 | Step: 5571 | Reward: 0.5000000000000001
Summary: 187 | Step: 5632 | Reward: -1.2300000000000004
Summary: 188 | Step: 5643 | Reward: -1.4100000000000001
Summary: 189 | Step: 5725 | Reward: -3.21
Summary: 190 | Step: 5750 | Reward: -1.3399999999999999
Summary: 191 | Step: 5760 | Reward: -0.42999999999999994
Summary: 192 | Step: 5761 | Reward: -0.98
Summary: 193 | Step: 5827 | Reward: -2.41
Summary: 194 | Step: 5842 | Reward: -1.33
Summary: 195 | Step: 5860 | Reward: -1.62
Summary: 196 | Step: 5888 | Reward: -0.07000000000000005
Summary: 197 | Step: 5890 | Reward: -1.03
Summary: 198 | Step: 5986 | Reward: -0.46000000000000063
Summary: 199 | Step: 6016 | Reward: -2.1500000000000004
Summary: 200 | Step: 6016 | Reward: 0
Summary: 201 | Step: 6038 | Reward: 1.28
Summary: 202 | Step: 6063 | Reward: -1.48
Summary: 203 | Step: 6123 | Reward: -2.3200000000000007
Summary: 204 | Step: 6134 | Reward: -1.48
Summary: 205 | Step: 6144 | Reward: -0.42999999999999994
Summary: 206 | Step: 6156 | Reward: -0.97
Summary: 207 | Step: 6218 | Reward: -3.819999999999998
Summary: 208 | Step: 6232 | Reward: 1.19
Summary: 209 | Step: 6248 | Reward: -1.24
Summary: 210 | Step: 6272 | Reward: -0.010000000000000044
Summary: 211 | Step: 6276 | Reward: 0.99
Summary: 212 | Step: 6294 | Reward: -1.34
Summary: 213 | Step: 6338 | Reward: -2.6400000000000006
Summary: 214 | Step: 6344 | Reward: -1.1600000000000001
Summary: 215 | Step: 6374 | Reward: -1.52
Summary: 216 | Step: 6400 | Reward: 0.029999999999999902
Summary: 217 | Step: 6498 | Reward: -0.35000000000000075
Summary: 218 | Step: 6522 | Reward: -1.57
Summary: 219 | Step: 6528 | Reward: -0.22999999999999998
Summary: 220 | Step: 6529 | Reward: -0.98
Summary: 221 | Step: 6559 | Reward: -2.4300000000000006
Summary: 222 | Step: 6575 | Reward: -1.73
Summary: 223 | Step: 6602 | Reward: -2.0000000000000004
Summary: 224 | Step: 6625 | Reward: -1.73
Summary: 225 | Step: 6638 | Reward: -1.37
Summary: 226 | Step: 6652 | Reward: -1.42
Summary: 227 | Step: 6656 | Reward: -0.2
Summary: 228 | Step: 6662 | Reward: -1.02
Summary: 229 | Step: 6676 | Reward: -1.2799999999999998
Summary: 230 | Step: 6690 | Reward: -1.4899999999999998
Summary: 231 | Step: 6698 | Reward: -1.26
Summary: 232 | Step: 6716 | Reward: -1.69
Summary: 233 | Step: 6784 | Reward: -2.070000000000001
Summary: 234 | Step: 6822 | Reward: -1.4999999999999998
Summary: 235 | Step: 6867 | Reward: -2.130000000000001
Summary: 236 | Step: 6912 | Reward: -0.8500000000000001
Summary: 237 | Step: 6924 | Reward: -1.3900000000000001
Summary: 238 | Step: 7040 | Reward: -1.5300000000000007
Summary: 239 | Step: 7168 | Reward: -2.969999999999997
Summary: 240 | Step: 7176 | Reward: -1.26
Summary: 241 | Step: 7213 | Reward: -1.31
Summary: 242 | Step: 7239 | Reward: -1.81
Summary: 243 | Step: 7296 | Reward: -1.03
Summary: 244 | Step: 7424 | Reward: -2.129999999999999
Summary: 245 | Step: 7551 | Reward: -1.0999999999999983
Summary: 246 | Step: 7552 | Reward: 0.02
Summary: 247 | Step: 7614 | Reward: 0.3999999999999999
Summary: 248 | Step: 7652 | Reward: -1.85
Summary: 249 | Step: 7663 | Reward: -1.3399999999999999
Summary: 250 | Step: 7675 | Reward: -1.46
Summary: 251 | Step: 7680 | Reward: -0.18
Summary: 252 | Step: 7692 | Reward: -1.46
Summary: 253 | Step: 7712 | Reward: -1.7200000000000002
Summary: 254 | Step: 7722 | Reward: -1.43
Summary: 255 | Step: 7734 | Reward: -1.46
Summary: 256 | Step: 7745 | Reward: -1.27
Summary: 257 | Step: 7775 | Reward: -2.0100000000000002
Summary: 258 | Step: 7786 | Reward: -1.27
