a-1;-1;>e-0,035;>r-0,005;>o0;0;0,330081;0;0;0,5999809;0,06694255;0,3963243;0,3869696;0,3587054;0,3544371;>t0>
a-1;-1;>e-0,04;>r-0,005;>o0;0;0,2624208;0;0;0,6159347;0,06015058;0,3899877;0,380531;0,3522193;0,3485686;>t0>
a-1;-1;>e-0,04499999;>r-0,005;>o0;0;0;0;0;0,6320049;0,05602619;0,3835749;0,3740273;0,345697;0,3426625;>t0>
a-1;-1;>e-0,04999999;>r-0,005;>o0;0;0;0;0;0,6481047;0,05417003;0,3771148;0,367487;0,3391662;0,3367461;>t0>
a-1;-1;>e-0,05499999;>r-0,005;>o0;0;0;0;0;0,6641679;0,05423819;0,3706317;0,3609344;0,3326505;0,3308421;>t0>
a-1;-1;>e-0,05999999;>r-0,005;>o0;0;0;0,4053443;0;0,6801369;0,05595659;0,3641459;0,3543897;0,3261695;0,3249696;>t0>
a-1;-1;>e-0,06499999;>r-0,005;>o0;0;0;0,4062919;0;0,6959656;0,05909691;0,3576751;0,3478702;0,3197394;0,3191446;>t0>
a-1;-1;>e-0,06999999;>r-0,005;>o0;0;0;0,4061081;0;0,7116092;0,06348591;0,3512346;0,3413908;0,3133747;0,3133812;>t0>
a-1;-1;>e-0,075;>r-0,005;>o0;0;0;0,4049162;0;0,727037;0,06896574;0,3448372;0,3349644;0,3070875;0,3076908;>t0>
a-1;-1;>e-0,08;>r-0,005;>o0;0;0;0,4028167;0;0,7422112;0,07542807;0,3384944;0,3286022;0,3008884;0,3020838;>t0>
a-1;-1;>e-0,085;>r-0,005;>o0;0;0;0,3870566;0;0,7571094;0,08276378;0,3322163;0,3223139;0,2947863;0,2965689;>t0>
a-1;-1;>e-0,09;>r-0,005;>o0;0;0;0,3506426;0;0,7717071;0,09089105;0,3260117;0,3161083;0,2887894;0,2911538;>t0>
a-1;-1;>e-0,09500001;>r-0,005;>o0;0;0;0,3105528;0;0,7859761;0,09975;0,3198887;0,3099933;0,2829049;0,2858454;>t0>
a-1;-1;>e-0,1;>r-0,005;>o0;0;0;0,2660747;0;0,7998998;0,1092767;0,3138547;0,3039757;0,2771393;0,28065;>t0>
a-1;-1;>e-0,105;>r-0,005;>o0;0;0;0,2162989;0;0,81346;0,1194214;0,3079158;0,298062;0,2714981;0,2755729;>t0>
a-1;-1;>e-0,11;>r-0,005;>o0;0;0;0,1600493;0;0,8266356;0,1301458;0,3020784;0,292258;0,2659868;0,2706191;>t0>
a-1;-1;>e-0,115;>r-0,005;>o0,05935356;0;0;0,09577377;0;0,8394132;0,1414092;0,2963479;0,286569;0,26061;0,2657932;>t0>
a-0,2285016;-0,8486181;>e-0,12;>r-0,005;>o0,1609694;0;0;0,02138397;0;0,8517732;0,1531827;0,2907295;0,2810001;0,2553722;0,2610994;>t0>
a0,5027468;-0,7955263;>e-0,125;>r-0,005;>o0,2335769;0;0;0;0;0,78868;0,2208232;0,2861799;0,2764992;0,2511707;0,2573594;>t0>
a0,9589968;-1;>e-0,13;>r-0,005;>o0,2872794;0;0;0;0;0,6662866;0,3261907;0,2833468;0,2737207;0,2487066;0,2553528;>t0>
a1;-0,9884619;>e-0,135;>r-0,005;>o0,336015;0;0;0;0;0,5266916;0,4428559;0,2823988;0,2728571;0,2482957;0,2555594;>t0>
a1;-0,9175523;>e-0,14;>r-0,005;>o0,3737177;0;0;0;0;0,4380612;0,5122344;0,2826155;0,2731719;0,2491048;0,2569958;>t0>
